Time,1:00:00 PM,2:00:00 PM,3:00:00 PM,4:00:00 PM,5:00:00 PM,6:00:00 PM,7:00:00 PM,8:00:00 PM,9:00:00 PM
Android_7,10345.66293,5147.823746,4167.36935,3418.765211,3474.835559,3531.868627,3330.308488,3062.493622,3119.235872
Android_10,5482.095366,5907.717295,2609.966527,8268.320629,3744.889026,2357.704798,3414.152206,4431.339895,4054.21209
Android_11,7310.745543,3434.935792,4645.368044,2415.789059,6564.537162,2049.253318,1824.122111,1923.086289,1768.267777
Android_12,6705.904998,3106.285823,16589.02213,2650.827641,1934.167294,1676.718603,1931.525085,4193.252365,5547.215802
Android_13,4666.803957,3113.13083,6774.37172,2900.226249,2008.294307,1925.589163,2245.53913,2203.190022,2199.791277
Android_14,4800.319433,4540.856919,3859.498721,2021.699835,1945.34201,2014.922051,1852.664518,1841.931337,3153.166482
Android_15,3003.760166,2225.998331,2715.434734,2462.618939,2296.895085,2738.840327,1749.655968,2406.339152,2363.71619
iOS_16.7,20668.09304,14853.28613,14984.85848,17314.92399,15185.52412,12011.43871,14029.5272,15488.75018,10366.58774
iOS_17.4,31846.52284,10302.88902,16001.60229,18619.00668,12367.40878,15960.30366,13386.85714,33670,19602.4
iOS_17.5,35965.6462,18854.20027,17450.197,20911.40536,19089.96,16048.97244,18822.8401,13245.42721,14197.74555
iOS_17.6,26814.31851,14581.79669,18195.24308,17975.39729,16765.52045,17426.72319,17021.29537,15845.79191,11820.07229
iOS_18.3,23018.08943,20142.38037,18806.19392,18984.95172,17021.19328,16260.48847,17299.41558,17490.4248,17227.64774
Windows_10,4406.459972,3244.468007,2662.113971,5641.794057,4631.193168,2171.974504,3736.628205,1391.522099,1554.405405
