OS Version,1:00:00 PM,2:00:00 PM,3:00:00 PM,4:00:00 PM,5:00:00 PM,6:00:00 PM,7:00:00 PM,8:00:00 PM,9:00:00 PM
Android_7,8998,9526,7765,6525,3594,3570,3287,2822,2849
Android_10,97551,87876,75853,59349,37396,31453,29447,24284,23028
Android_11,10489,10139,9344,7495,6216,7082,5192,5018,5766
Android_12,7463,7851,6915,5036,3186,2978,3807,2643,2025
Android_13,8794,6925,6478,3642,1862,2030,2070,1784,963
Android_14,13045,13377,12899,9115,6608,3374,3103,3306,5424
Android_15,3615,4794,3570,2186,2421,1835,997,401,1050
iOS_16.7,3676,4484,3095,3131,2177,620,1599,1425,359
iOS_17.4,197,874,787,749,592,573,154,2,140
iOS_17.5,2052,2262,1665,1754,525,1016,394,419,562
iOS_17.6,2945,3625,2168,2069,1345,1380,518,346,166
iOS_18.3,28839,29797,28440,18184,10834,7505,5698,4056,3963
Windows_10,2111,2985,1904,1447,849,353,156,362,259
